SubjNum,RT,acc,Cond,c.resp,qs
1,2.55,1,AB,2,<=.3
1,2.91,0,AB,2,<.7-1.0
1,3.02,1,AB,2,<.7-1.0
1,2.72,1,AB,2,>.3-<=.7
1,1.75,1,AB,2,<=.3
1,2.62,1,AB,2,>.3-<=.7
1,2.68,1,AB,1,>.3-<=.7
1,2.58,1,AB,1,>.3-<=.7
1,2.81,1,AB,1,<.7-1.0
1,2.03,1,AB,1,<=.3
1,1.84,1,AB,1,<=.3
1,1.81,1,AB,2,<=.3
1,4.46,0,AB,2,<.7-1.0
1,2.77,0,AB,1,<.7-1.0
1,2.67,1,AB,1,>.3-<=.7
1,4.19,1,AA,1,<.7-1.0
1,3.41,1,AA,2,<.7-1.0
1,3.54,0,AA,2,<.7-1.0
1,3.43,0,AA,1,<.7-1.0
1,2.92,1,AA,1,>.3-<=.7
1,2.08,1,AA,2,<=.3
1,2.53,1,AA,1,>.3-<=.7
1,2.16,1,AA,1,<=.3
1,2.16,1,AA,1,<=.3
1,2.99,1,AA,2,>.3-<=.7
1,2.4,1,AA,2,>.3-<=.7
1,1.81,1,AA,2,<=.3
1,2.7,1,AA,2,>.3-<=.7
1,4.96,1,AA,2,<.7-1.0
1,2.39,1,AA,1,<=.3
1,2.51,1,AA,1,>.3-<=.7
10,2.88,1,AB,1,>.3-<=.7
10,4.17,1,AB,1,<.7-1.0
10,2.35,1,AB,2,>.3-<=.7
10,4.68,1,AB,1,<.7-1.0
10,5.22,1,AB,1,<.7-1.0
10,3.08,1,AB,1,>.3-<=.7
10,1.93,1,AB,1,<=.3
10,4.3,0,AB,2,<.7-1.0
10,2.8,0,AB,2,>.3-<=.7
10,5.92,0,AB,2,<.7-1.0
10,1.35,1,AB,2,<=.3
10,2.66,1,AB,2,>.3-<=.7
10,1.5,0,AB,2,<=.3
10,2.14,1,AB,1,<=.3
10,1.72,1,AB,2,<=.3
10,2.77,1,AA,1,<=.3
10,3.3,0,AA,2,>.3-<=.7
10,2.9,1,AA,2,>.3-<=.7
10,1.61,1,AA,2,<=.3
10,2.52,0,AA,2,<=.3
10,4.2,1,AA,1,<.7-1.0
10,2.85,1,AA,1,>.3-<=.7
10,2.82,0,AA,2,<=.3
10,3.81,1,AA,1,<.7-1.0
10,3.98,0,AA,1,<.7-1.0
10,3.26,1,AA,2,>.3-<=.7
10,3.3,1,AA,2,>.3-<=.7
10,3.77,0,AA,1,<.7-1.0
10,3.54,1,AA,1,>.3-<=.7
10,2.71,1,AA,2,<=.3
10,3.6,1,AA,1,<.7-1.0
11,1.45,0,AB,1,<=.3
11,2.83,1,AB,2,>.3-<=.7
11,2.78,1,AB,2,>.3-<=.7
11,2.07,1,AB,2,<=.3
11,2.14,1,AB,2,>.3-<=.7
11,3.19,0,AB,2,<.7-1.0
11,1.15,1,AB,2,<=.3
11,4.85,1,AB,1,<.7-1.0
11,2.81,0,AB,1,>.3-<=.7
11,2.63,0,AB,1,>.3-<=.7
11,2.13,1,AB,1,<=.3
11,5.55,1,AB,1,<.7-1.0
11,2.02,1,AB,2,<=.3
11,4.14,1,AB,2,<.7-1.0
11,4.09,0,AB,1,<.7-1.0
11,2.63,1,AB,1,>.3-<=.7
11,3.57,1,AA,2,>.3-<=.7
11,5.14,0,AA,2,<.7-1.0
11,3.72,0,AA,1,>.3-<=.7
11,5.4,1,AA,2,<.7-1.0
11,5.17,0,AA,2,<.7-1.0
11,1.26,1,AA,2,<=.3
11,1.67,1,AA,2,<=.3
11,5.16,1,AA,1,<.7-1.0
11,3.92,1,AA,2,>.3-<=.7
11,3.33,1,AA,1,<=.3
11,5.53,0,AA,1,<.7-1.0
11,2.98,1,AA,1,<=.3
11,4.23,0,AA,1,>.3-<=.7
11,4.37,1,AA,2,>.3-<=.7
11,3.19,0,AA,1,<=.3
11,4.6,1,AA,1,>.3-<=.7
12,3.11,1,AB,1,>.3-<=.7
12,4.82,1,AB,1,<.7-1.0
12,2.58,1,AB,1,<=.3
12,3.27,0,AB,2,>.3-<=.7
12,4.51,0,AB,1,<.7-1.0
12,4.1,1,AB,2,>.3-<=.7
12,5.17,0,AB,1,<.7-1.0
12,2.67,1,AB,2,<=.3
12,3.88,1,AB,2,>.3-<=.7
12,3.43,0,AB,1,>.3-<=.7
12,2.53,1,AB,2,<=.3
12,2.21,1,AB,1,<=.3
12,5.4,1,AB,1,<.7-1.0
12,2.93,1,AB,2,>.3-<=.7
12,4.2,1,AA,1,>.3-<=.7
12,4.3,1,AA,1,>.3-<=.7
12,1.86,1,AA,1,<=.3
12,2.27,1,AA,2,<=.3
12,5.18,1,AA,1,<.7-1.0
12,5.32,1,AA,2,<.7-1.0
12,3.86,1,AA,1,<=.3
12,5.69,1,AA,2,<.7-1.0
12,4.93,1,AA,2,>.3-<=.7
12,5.9,1,AA,1,<.7-1.0
12,4.23,0,AA,2,>.3-<=.7
12,4.3,1,AA,2,>.3-<=.7
12,2.65,1,AA,2,<=.3
13,4.19,1,AB,1,<.7-1.0
13,3.59,0,AB,1,>.3-<=.7
13,3.81,1,AB,2,>.3-<=.7
13,3.12,1,AB,2,>.3-<=.7
13,2.75,1,AB,2,>.3-<=.7
13,4.56,0,AB,2,<.7-1.0
13,1.6,1,AB,2,<=.3
13,2.95,1,AB,1,>.3-<=.7
13,1.7,1,AB,1,<=.3
13,2.4,1,AB,2,<=.3
13,1.09,1,AB,1,<=.3
13,1.51,0,AB,1,<=.3
13,3.87,1,AB,2,<.7-1.0
13,4.24,0,AB,2,<.7-1.0
13,4.44,0,AB,1,<.7-1.0
13,2.45,1,AA,1,>.3-<=.7
13,4.21,1,AA,1,<.7-1.0
13,2.27,1,AA,1,>.3-<=.7
13,1.79,1,AA,2,<=.3
13,3,1,AA,2,<.7-1.0
13,1.56,1,AA,2,<=.3
