SubjNum,Age,Ethnicity,Sex,TargName,DistName,TargHalf,DistHalf,c.resp,Cond,Resp,acc,RT,Conf
1,21,HISPANIC,FEMALE,15.jpg,36.jpg,2,2,2,AB,2,1,2.55,3
1,21,HISPANIC,FEMALE,31.jpg,31.jpg,2,1,1,AA,1,1,4.19,3
1,21,HISPANIC,FEMALE,5.jpg,1.jpg,2,2,2,AB,1,0,2.91,1
1,21,HISPANIC,FEMALE,20.jpg,20.jpg,2,1,2,AA,2,1,3.41,2
1,21,HISPANIC,FEMALE,12.jpg,32.jpg,1,2,2,AB,2,1,3.02,2
1,21,HISPANIC,FEMALE,25.jpg,25.jpg,2,1,2,AA,1,0,3.54,1
1,21,HISPANIC,FEMALE,21.jpg,21.jpg,1,2,1,AA,2,0,3.43,1
1,21,HISPANIC,FEMALE,4.jpg,4.jpg,1,2,1,AA,1,1,2.92,3
1,21,HISPANIC,FEMALE,6.jpg,6.jpg,1,2,2,AA,2,1,2.08,3
1,21,HISPANIC,FEMALE,42.jpg,42.jpg,2,1,1,AA,1,1,2.53,3
1,21,HISPANIC,FEMALE,37.jpg,18.jpg,1,1,2,AB,2,1,2.72,2
1,21,HISPANIC,FEMALE,27.jpg,9.jpg,1,2,2,AB,2,1,1.75,2
1,21,HISPANIC,FEMALE,3.jpg,22.jpg,1,1,2,AB,2,1,2.62,2
1,21,HISPANIC,FEMALE,39.jpg,47.jpg,2,2,1,AB,1,1,2.68,2
1,21,HISPANIC,FEMALE,29.jpg,29.jpg,1,2,1,AA,1,1,2.16,3
1,21,HISPANIC,FEMALE,45.jpg,45.jpg,2,1,1,AA,1,1,2.16,2
1,21,HISPANIC,FEMALE,11.jpg,14.jpg,2,1,1,AB,1,1,2.58,2
1,21,HISPANIC,FEMALE,2.jpg,16.jpg,1,2,1,AB,1,1,2.81,3
1,21,HISPANIC,FEMALE,8.jpg,8.jpg,1,2,2,AA,2,1,2.99,3
1,21,HISPANIC,FEMALE,13.jpg,13.jpg,1,2,2,AA,2,1,2.4,3
1,21,HISPANIC,FEMALE,17.jpg,17.jpg,2,1,2,AA,2,1,1.81,3
1,21,HISPANIC,FEMALE,10.jpg,38.jpg,1,1,1,AB,1,1,2.03,3
