RT,acc,Cond,c.resp,qs,SubjNum
10.83,1,AB,2,<.7-1.0,1
3.33,1,AB,1,>.3-<=.7,1
23.76,1,AB,2,<.7-1.0,1
8.45,1,AB,2,<.7-1.0,1
4.95,1,AB,1,>.3-<=.7,1
4.98,1,AB,2,>.3-<=.7,1
6.56,1,AB,1,<.7-1.0,1
3.3,1,AB,1,>.3-<=.7,1
2.47,1,AB,1,<=.3,1
1.97,1,AB,2,<=.3,1
1.97,1,AB,2,<=.3,1
1.3,1,AB,1,<=.3,1
2.54,1,AB,2,<=.3,1
9.03,1,AB,1,<.7-1.0,1
4.54,1,AB,2,>.3-<=.7,1
2.75,1,AB,1,>.3-<=.7,1
7.03,1,AA,1,<.7-1.0,1
2.91,1,AA,1,>.3-<=.7,1
4.41,1,AA,1,>.3-<=.7,1
3.78,1,AA,2,>.3-<=.7,1
2.12,1,AA,1,>.3-<=.7,1
14.08,0,AA,2,<.7-1.0,1
2.85,1,AA,2,>.3-<=.7,1
1.88,1,AA,1,<=.3,1
5.11,1,AA,2,<.7-1.0,1
1.39,1,AA,1,<=.3,1
9,1,AA,1,<.7-1.0,1
2.3,1,AA,2,>.3-<=.7,1
2.11,1,AA,2,<=.3,1
1.57,1,AA,2,<=.3,1
1.47,1,AA,1,<=.3,1
5.79,1,AA,2,<.7-1.0,1
5.19,1,AB,2,<.7-1.0,101
14.55,1,AB,2,<.7-1.0,101
8.93,0,AB,2,<.7-1.0,101
3.24,1,AB,1,>.3-<=.7,101
4.02,1,AB,1,>.3-<=.7,101
4.49,1,AB,2,<.7-1.0,101
3.6,0,AB,1,>.3-<=.7,101
3.43,1,AB,2,>.3-<=.7,101
4.26,1,AB,1,>.3-<=.7,101
2.73,0,AB,2,<=.3,101
2.17,1,AB,1,<=.3,101
4.38,0,AB,1,>.3-<=.7,101
2.93,1,AB,1,<=.3,101
2.47,1,AB,2,<=.3,101
2.01,1,AB,2,<=.3,101
9.22,0,AB,1,<.7-1.0,101
8.73,1,AA,1,<.7-1.0,101
5.53,0,AA,2,<.7-1.0,101
7.51,1,AA,1,<.7-1.0,101
4.24,0,AA,2,>.3-<=.7,101
2.51,1,AA,2,<=.3,101
3.69,1,AA,1,>.3-<=.7,101
5.19,0,AA,2,<.7-1.0,101
5.45,1,AA,1,<.7-1.0,101
3.25,0,AA,2,>.3-<=.7,101
2.56,1,AA,1,<=.3,101
2.23,1,AA,1,<=.3,101
4.65,1,AA,2,>.3-<=.7,101
4.93,1,AA,1,>.3-<=.7,101
3.07,1,AA,1,<=.3,101
4.82,0,AA,2,>.3-<=.7,101
3.15,0,AA,2,<=.3,101
7.31,1,AB,2,>.3-<=.7,103
14.28,1,AB,2,<.7-1.0,103
4.64,1,AB,2,<=.3,103
5.82,1,AB,2,>.3-<=.7,103
3.89,1,AB,2,<=.3,103
6.26,1,AB,1,>.3-<=.7,103
12.71,1,AB,2,<.7-1.0,103
6.41,1,AB,1,>.3-<=.7,103
7.52,1,AB,1,>.3-<=.7,103
7.67,1,AB,1,<.7-1.0,103
13.96,1,AB,1,<.7-1.0,103
3.4,1,AB,2,<=.3,103
5.72,1,AB,1,<=.3,103
6.61,1,AB,1,>.3-<=.7,103
4.74,1,AB,2,<=.3,103
13.69,1,AB,1,<.7-1.0,103
3.75,1,AA,2,>.3-<=.7,103
2.53,1,AA,1,<=.3,103
2.9,1,AA,1,<=.3,103
7.74,1,AA,2,<.7-1.0,103
5.41,1,AA,2,<.7-1.0,103
4.27,1,AA,1,>.3-<=.7,103
6.45,1,AA,2,<.7-1.0,103
4.83,1,AA,1,>.3-<=.7,103
4.46,1,AA,1,>.3-<=.7,103
2.63,1,AA,2,<=.3,103
3.17,1,AA,2,>.3-<=.7,103
1.86,1,AA,2,<=.3,103
1.59,1,AA,1,<=.3,103
12.67,0,AA,2,<.7-1.0,103
6.24,1,AA,1,<.7-1.0,103
4.42,1,AA,1,>.3-<=.7,103
8.13,1,AB,1,<.7-1.0,104
5.12,1,AB,2,>.3-<=.7,104
7.75,1,AB,2,<.7-1.0,104
7.69,0,AB,2,<.7-1.0,104
8.71,1,AB,1,<.7-1.0,104
4.54,1,AB,1,>.3-<=.7,104
5.73,1,AB,2,>.3-<=.7,104
7.54,0,AB,1,>.3-<=.7,104
4.35,1,AB,1,>.3-<=.7,104
7.98,0,AB,2,<.7-1.0,104
4.41,1,AB,1,>.3-<=.7,104
4.07,0,AB,2,<=.3,104
3.2,1,AB,2,<=.3,104
2.65,1,AB,1,<=.3,104
4.03,0,AB,2,<=.3,104
2.97,1,AB,1,<=.3,104
7.63,1,AA,2,>.3-<=.7,104
4.84,0,AA,2,<=.3,104
4.37,1,AA,1,<=.3,104
13.47,0,AA,2,<.7-1.0,104
10.43,1,AA,1,<.7-1.0,104
8.16,1,AA,2,>.3-<=.7,104
4.43,1,AA,1,<=.3,104
7.56,1,AA,2,>.3-<=.7,104
5.71,1,AA,1,<=.3,104
4.49,1,AA,1,<=.3,104
5.88,0,AA,2,>.3-<=.7,104
11.35,0,AA,1,<.7-1.0,104
9.93,1,AA,1,<.7-1.0,104
18.85,1,AA,2,<.7-1.0,104
5.79,1,AA,2,>.3-<=.7,104
6.3,1,AA,1,>.3-<=.7,104
2.94,1,AB,1,>.3-<=.7,106
8.19,0,AB,2,<.7-1.0,106
1.99,0,AB,1,<=.3,106
6.89,1,AB,1,<.7-1.0,106
