SubjNum,Age,Ethnicity,Sex,TargName,DistName,TargHalf,DistHalf,c.resp,Cond,Resp,acc,RT,Conf
1,18,ASIAN/WHITE,FEMALE,17.jpg,17.jpg,1,2,1,AA,1,1,7.03,3
1,18,ASIAN/WHITE,FEMALE,6.jpg,6.jpg,1,2,1,AA,1,1,2.91,3
1,18,ASIAN/WHITE,FEMALE,5.jpg,5.jpg,2,1,1,AA,1,1,4.41,3
1,18,ASIAN/WHITE,FEMALE,43.jpg,2.jpg,1,1,2,AB,2,1,10.83,3
1,18,ASIAN/WHITE,FEMALE,8.jpg,8.jpg,2,1,2,AA,2,1,3.78,3
1,18,ASIAN/WHITE,FEMALE,45.jpg,38.jpg,2,1,1,AB,1,1,3.33,3
1,18,ASIAN/WHITE,FEMALE,28.jpg,28.jpg,1,2,1,AA,1,1,2.12,3
1,18,ASIAN/WHITE,FEMALE,12.jpg,12.jpg,2,1,2,AA,1,0,14.08,2
1,18,ASIAN/WHITE,FEMALE,21.jpg,33.jpg,2,2,2,AB,2,1,23.76,2
1,18,ASIAN/WHITE,FEMALE,40.jpg,18.jpg,2,2,2,AB,2,1,8.45,3
1,18,ASIAN/WHITE,FEMALE,37.jpg,24.jpg,1,1,1,AB,1,1,4.95,3
1,18,ASIAN/WHITE,FEMALE,31.jpg,31.jpg,1,2,2,AA,2,1,2.85,3
1,18,ASIAN/WHITE,FEMALE,42.jpg,32.jpg,2,1,2,AB,2,1,4.98,3
1,18,ASIAN/WHITE,FEMALE,34.jpg,34.jpg,2,1,1,AA,1,1,1.88,3
1,18,ASIAN/WHITE,FEMALE,47.jpg,10.jpg,2,2,1,AB,1,1,6.56,2
1,18,ASIAN/WHITE,FEMALE,1.jpg,1.jpg,2,1,2,AA,2,1,5.11,3
1,18,ASIAN/WHITE,FEMALE,9.jpg,36.jpg,1,2,1,AB,1,1,3.3,3
1,18,ASIAN/WHITE,FEMALE,41.jpg,19.jpg,1,2,1,AB,1,1,2.47,3
1,18,ASIAN/WHITE,FEMALE,15.jpg,15.jpg,1,2,1,AA,1,1,1.39,3
1,18,ASIAN/WHITE,FEMALE,44.jpg,44.jpg,2,1,1,AA,1,1,9,2
1,18,ASIAN/WHITE,FEMALE,26.jpg,26.jpg,1,2,2,AA,2,1,2.3,3
1,18,ASIAN/WHITE,FEMALE,23.jpg,35.jpg,1,1,2,AB,2,1,1.97,3
1,18,ASIAN/WHITE,FEMALE,20.jpg,27.jpg,1,2,2,AB,2,1,1.97,3
1,18,ASIAN/WHITE,FEMALE,3.jpg,3.jpg,1,2,2,AA,2,1,2.11,3
1,18,ASIAN/WHITE,FEMALE,13.jpg,46.jpg,1,1,1,AB,1,1,1.3,3
1,18,ASIAN/WHITE,FEMALE,4.jpg,7.jpg,1,2,2,AB,2,1,2.54,3
1,18,ASIAN/WHITE,FEMALE,29.jpg,29.jpg,2,1,2,AA,2,1,1.57,3
1,18,ASIAN/WHITE,FEMALE,11.jpg,14.jpg,2,1,1,AB,1,1,9.03,2
1,18,ASIAN/WHITE,FEMALE,39.jpg,25.jpg,2,1,2,AB,2,1,4.54,3
1,18,ASIAN/WHITE,FEMALE,48.jpg,16.jpg,2,2,1,AB,1,1,2.75,3
1,18,ASIAN/WHITE,FEMALE,22.jpg,22.jpg,2,1,1,AA,1,1,1.47,3
1,18,ASIAN/WHITE,FEMALE,30.jpg,30.jpg,1,2,2,AA,2,1,5.79,3
101,24,white,Male,31.jpg,37.jpg,2,1,2,AB,2,1,5.19,3
101,24,white,Male,28.jpg,6.jpg,2,2,2,AB,2,1,14.55,3
101,24,white,Male,14.jpg,34.jpg,2,1,2,AB,1,0,8.93,2
101,24,white,Male,45.jpg,29.jpg,1,1,1,AB,1,1,3.24,3
101,24,white,Male,48.jpg,48.jpg,2,1,1,AA,1,1,8.73,1
101,24,white,Male,3.jpg,4.jpg,2,2,1,AB,1,1,4.02,3
101,24,white,Male,44.jpg,18.jpg,1,2,2,AB,2,1,4.49,3
101,24,white,Male,5.jpg,5.jpg,2,1,2,AA,1,0,5.53,1
101,24,white,Male,17.jpg,17.jpg,1,2,1,AA,1,1,7.51,2
101,24,white,Male,35.jpg,35.jpg,1,2,2,AA,1,0,4.24,1
101,24,white,Male,47.jpg,38.jpg,2,1,1,AB,2,0,3.6,3
101,24,white,Male,16.jpg,20.jpg,1,2,2,AB,2,1,3.43,3
101,24,white,Male,8.jpg,8.jpg,1,2,2,AA,2,1,2.51,3
101,24,white,Male,7.jpg,22.jpg,1,2,1,AB,1,1,4.26,3
101,24,white,Male,30.jpg,30.jpg,2,1,1,AA,1,1,3.69,3
101,24,white,Male,32.jpg,32.jpg,2,1,2,AA,1,0,5.19,1
101,24,white,Male,27.jpg,27.jpg,1,2,1,AA,1,1,5.45,2
101,24,white,Male,23.jpg,9.jpg,2,2,2,AB,1,0,2.73,3
101,24,white,Male,46.jpg,46.jpg,2,1,2,AA,1,0,3.25,2
101,24,white,Male,2.jpg,15.jpg,1,1,1,AB,1,1,2.17,3
101,24,white,Male,13.jpg,40.jpg,2,2,1,AB,2,0,4.38,3
101,24,white,Male,43.jpg,43.jpg,1,2,1,AA,1,1,2.56,3
101,24,white,Male,10.jpg,10.jpg,1,2,1,AA,1,1,2.23,3
101,24,white,Male,1.jpg,21.jpg,2,1,1,AB,1,1,2.93,3
101,24,white,Male,25.jpg,41.jpg,1,1,2,AB,2,1,2.47,3
101,24,white,Male,33.jpg,33.jpg,2,1,2,AA,2,1,4.65,3
101,24,white,Male,26.jpg,26.jpg,2,1,1,AA,1,1,4.93,2
101,24,white,Male,24.jpg,24.jpg,2,1,1,AA,1,1,3.07,2
101,24,white,Male,36.jpg,36.jpg,1,2,2,AA,1,0,4.82,1
101,24,white,Male,12.jpg,12.jpg,1,2,2,AA,1,0,3.15,1
101,24,white,Male,11.jpg,39.jpg,1,1,2,AB,2,1,2.01,3
101,24,white,Male,42.jpg,19.jpg,1,2,1,AB,2,0,9.22,3
103,18,Hispanic,Male,16.jpg,39.jpg,2,2,2,AB,2,1,7.31,3
103,18,Hispanic,Male,33.jpg,33.jpg,1,2,2,AA,2,1,3.75,3
103,18,Hispanic,Male,32.jpg,35.jpg,1,1,2,AB,2,1,14.28,2
103,18,Hispanic,Male,19.jpg,19.jpg,1,2,1,AA,1,1,2.53,3
103,18,Hispanic,Male,15.jpg,15.jpg,1,2,1,AA,1,1,2.9,3
103,18,Hispanic,Male,47.jpg,47.jpg,1,2,2,AA,2,1,7.74,3
103,18,Hispanic,Male,31.jpg,31.jpg,2,1,2,AA,2,1,5.41,3
103,18,Hispanic,Male,48.jpg,10.jpg,1,2,2,AB,2,1,4.64,3
103,18,Hispanic,Male,26.jpg,26.jpg,2,1,1,AA,1,1,4.27,3
103,18,Hispanic,Male,46.jpg,46.jpg,2,1,2,AA,2,1,6.45,3
103,18,Hispanic,Male,1.jpg,34.jpg,2,1,2,AB,2,1,5.82,3
103,18,Hispanic,Male,37.jpg,43.jpg,1,1,2,AB,2,1,3.89,3
103,18,Hispanic,Male,11.jpg,11.jpg,1,2,1,AA,1,1,4.83,3
103,18,Hispanic,Male,24.jpg,25.jpg,2,2,1,AB,1,1,6.26,2
103,18,Hispanic,Male,7.jpg,13.jpg,1,2,2,AB,2,1,12.71,1
103,18,Hispanic,Male,22.jpg,2.jpg,2,1,1,AB,1,1,6.41,3
103,18,Hispanic,Male,17.jpg,12.jpg,1,1,1,AB,1,1,7.52,3
103,18,Hispanic,Male,30.jpg,30.jpg,2,1,1,AA,1,1,4.46,3
103,18,Hispanic,Male,14.jpg,44.jpg,2,2,1,AB,1,1,7.67,2
103,18,Hispanic,Male,38.jpg,38.jpg,1,2,2,AA,2,1,2.63,3
103,18,Hispanic,Male,8.jpg,8.jpg,2,1,2,AA,2,1,3.17,3
103,18,Hispanic,Male,18.jpg,28.jpg,2,1,1,AB,1,1,13.96,2
103,18,Hispanic,Male,23.jpg,27.jpg,2,1,2,AB,2,1,3.4,3
103,18,Hispanic,Male,20.jpg,3.jpg,1,2,1,AB,1,1,5.72,3
103,18,Hispanic,Male,45.jpg,45.jpg,1,2,2,AA,2,1,1.86,3
103,18,Hispanic,Male,36.jpg,36.jpg,1,2,1,AA,1,1,1.59,3
103,18,Hispanic,Male,5.jpg,40.jpg,1,2,1,AB,1,1,6.61,3
103,18,Hispanic,Male,6.jpg,4.jpg,2,2,2,AB,2,1,4.74,3
103,18,Hispanic,Male,9.jpg,9.jpg,2,1,2,AA,1,0,12.67,1
103,18,Hispanic,Male,41.jpg,41.jpg,2,1,1,AA,1,1,6.24,2
103,18,Hispanic,Male,42.jpg,29.jpg,1,1,1,AB,1,1,13.69,2
103,18,Hispanic,Male,21.jpg,21.jpg,2,1,1,AA,1,1,4.42,3
104,17,lhispanic,female,13.jpg,13.jpg,2,1,2,AA,2,1,7.63,2
104,17,lhispanic,female,9.jpg,9.jpg,1,2,2,AA,1,0,4.84,2
104,17,lhispanic,female,19.jpg,19.jpg,2,1,1,AA,1,1,4.37,3
104,17,lhispanic,female,14.jpg,22.jpg,1,1,1,AB,1,1,8.13,3
104,17,lhispanic,female,40.jpg,10.jpg,2,1,2,AB,2,1,5.12,2
104,17,lhispanic,female,8.jpg,8.jpg,2,1,2,AA,1,0,13.47,1
104,17,lhispanic,female,20.jpg,20.jpg,1,2,1,AA,1,1,10.43,2
104,17,lhispanic,female,36.jpg,36.jpg,2,1,2,AA,2,1,8.16,1
104,17,lhispanic,female,4.jpg,35.jpg,1,1,2,AB,2,1,7.75,3
104,17,lhispanic,female,27.jpg,27.jpg,2,1,1,AA,1,1,4.43,3
104,17,lhispanic,female,29.jpg,44.jpg,1,2,2,AB,1,0,7.69,1
104,17,lhispanic,female,6.jpg,6.jpg,1,2,2,AA,2,1,7.56,1
104,17,lhispanic,female,17.jpg,21.jpg,2,1,1,AB,1,1,8.71,2
104,17,lhispanic,female,47.jpg,2.jpg,1,2,1,AB,1,1,4.54,3
104,17,lhispanic,female,31.jpg,31.jpg,1,2,1,AA,1,1,5.71,3
104,17,lhispanic,female,7.jpg,12.jpg,1,2,2,AB,2,1,5.73,3
104,17,lhispanic,female,30.jpg,30.jpg,2,1,1,AA,1,1,4.49,3
104,17,lhispanic,female,33.jpg,33.jpg,1,2,2,AA,1,0,5.88,2
104,17,lhispanic,female,42.jpg,42.jpg,1,2,1,AA,2,0,11.35,1
104,17,lhispanic,female,41.jpg,41.jpg,1,2,1,AA,1,1,9.93,2
104,17,lhispanic,female,43.jpg,23.jpg,1,2,1,AB,2,0,7.54,1
104,17,lhispanic,female,5.jpg,5.jpg,1,2,2,AA,2,1,18.85,1
104,17,lhispanic,female,38.jpg,39.jpg,2,2,1,AB,1,1,4.35,2
104,17,lhispanic,female,45.jpg,45.jpg,2,1,2,AA,2,1,5.79,2
104,17,lhispanic,female,24.jpg,16.jpg,2,2,2,AB,1,0,7.98,1
104,17,lhispanic,female,1.jpg,15.jpg,2,1,1,AB,1,1,4.41,2
104,17,lhispanic,female,48.jpg,48.jpg,2,1,1,AA,1,1,6.3,1
104,17,lhispanic,female,34.jpg,3.jpg,2,1,2,AB,1,0,4.07,2
104,17,lhispanic,female,46.jpg,25.jpg,1,1,2,AB,2,1,3.2,3
104,17,lhispanic,female,11.jpg,37.jpg,2,2,1,AB,1,1,2.65,1
104,17,lhispanic,female,28.jpg,26.jpg,2,2,2,AB,1,0,4.03,2
104,17,lhispanic,female,18.jpg,32.jpg,1,1,1,AB,1,1,2.97,1
106,18,White,Male,1.jpg,1.jpg,1,2,2,AA,2,1,7.99,2
106,18,White,Male,22.jpg,3.jpg,1,2,1,AB,1,1,2.94,3
106,18,White,Male,33.jpg,25.jpg,1,2,2,AB,1,0,8.19,2
106,18,White,Male,37.jpg,9.jpg,2,2,1,AB,2,0,1.99,3
106,18,White,Male,38.jpg,38.jpg,1,2,1,AA,1,1,4.28,2
106,18,White,Male,14.jpg,14.jpg,2,1,1,AA,2,0,7.93,2
106,18,White,Male,34.jpg,34.jpg,1,2,2,AA,2,1,3.06,2
106,18,White,Male,26.jpg,4.jpg,2,1,1,AB,1,1,6.89,1
106,18,White,Male,27.jpg,27.jpg,1,2,1,AA,1,1,3.58,2
106,18,White,Male,8.jpg,8.jpg,2,1,2,AA,2,1,4.55,1
106,18,White,Male,45.jpg,2.jpg,1,2,2,AB,2,1,8.84,1
106,18,White,Male,28.jpg,28.jpg,2,1,2,AA,2,1,9.62,1
106,18,White,Male,10.jpg,10.jpg,1,2,1,AA,1,1,1.13,3
106,18,White,Male,48.jpg,42.jpg,2,1,2,AB,2,1,11.11,1
106,18,White,Male,31.jpg,20.jpg,1,1,1,AB,2,0,3.91,1
106,18,White,Male,17.jpg,17.jpg,2,1,1,AA,1,1,2.46,3
106,18,White,Male,16.jpg,39.jpg,1,2,1,AB,2,0,2.92,1
106,18,White,Male,36.jpg,13.jpg,1,1,2,AB,2,1,2.97,2
106,18,White,Male,19.jpg,40.jpg,2,2,2,AB,2,1,1.52,3
106,18,White,Male,24.jpg,24.jpg,1,2,2,AA,2,1,6.44,1
106,18,White,Male,29.jpg,29.jpg,2,1,2,AA,2,1,2.07,3
106,18,White,Male,21.jpg,41.jpg,2,2,1,AB,1,1,2.14,2
106,18,White,Male,30.jpg,30.jpg,2,1,1,AA,1,1,3.39,2
106,18,White,Male,7.jpg,44.jpg,2,1,2,AB,1,0,1.99,1
106,18,White,Male,18.jpg,18.jpg,2,1,2,AA,1,0,5.44,2
106,18,White,Male,12.jpg,12.jpg,1,2,2,AA,1,0,2.15,2
106,18,White,Male,11.jpg,43.jpg,1,1,2,AB,2,1,3.53,3
106,18,White,Male,47.jpg,6.jpg,2,1,1,AB,1,1,3.88,2
106,18,White,Male,5.jpg,15.jpg,1,1,1,AB,2,0,1.6,3
106,18,White,Male,23.jpg,23.jpg,1,2,1,AA,1,1,2.52,2
106,18,White,Male,32.jpg,32.jpg,2,1,1,AA,1,1,7.38,2
106,18,White,Male,46.jpg,35.jpg,2,2,2,AB,2,1,1.79,2
107,18,Hispanic/Latino,Male,33.jpg,33.jpg,1,2,1,AA,2,0,7.05,2
107,18,Hispanic/Latino,Male,41.jpg,41.jpg,1,2,1,AA,1,1,4.27,3
107,18,Hispanic/Latino,Male,38.jpg,6.jpg,2,2,2,AB,2,1,5.97,2
107,18,Hispanic/Latino,Male,36.jpg,36.jpg,2,1,2,AA,2,1,2.8,2
107,18,Hispanic/Latino,Male,21.jpg,21.jpg,1,2,2,AA,2,1,3.31,3
107,18,Hispanic/Latino,Male,4.jpg,4.jpg,2,1,1,AA,1,1,5.41,2
107,18,Hispanic/Latino,Male,29.jpg,39.jpg,2,2,2,AB,2,1,5.76,3
107,18,Hispanic/Latino,Male,1.jpg,1.jpg,1,2,1,AA,1,1,3.93,2
107,18,Hispanic/Latino,Male,14.jpg,24.jpg,1,2,1,AB,1,1,4.96,2
107,18,Hispanic/Latino,Male,18.jpg,32.jpg,1,1,1,AB,2,0,6.39,2
107,18,Hispanic/Latino,Male,35.jpg,35.jpg,2,1,1,AA,1,1,7.42,3
107,18,Hispanic/Latino,Male,23.jpg,23.jpg,2,1,1,AA,1,1,2.55,3
107,18,Hispanic/Latino,Male,27.jpg,27.jpg,2,1,2,AA,2,1,4.71,3
107,18,Hispanic/Latino,Male,40.jpg,11.jpg,1,1,1,AB,1,1,4.3,3
107,18,Hispanic/Latino,Male,2.jpg,28.jpg,2,1,2,AB,2,1,4.43,3
107,18,Hispanic/Latino,Male,44.jpg,10.jpg,2,1,1,AB,1,1,3.07,2
107,18,Hispanic/Latino,Male,37.jpg,48.jpg,2,2,1,AB,2,0,5.41,1
107,18,Hispanic/Latino,Male,42.jpg,8.jpg,1,2,2,AB,2,1,4.1,2
107,18,Hispanic/Latino,Male,13.jpg,16.jpg,2,2,1,AB,1,1,1.98,3
107,18,Hispanic/Latino,Male,22.jpg,22.jpg,1,2,2,AA,2,1,2.97,3
107,18,Hispanic/Latino,Male,20.jpg,20.jpg,2,1,2,AA,2,1,2.15,3
107,18,Hispanic/Latino,Male,31.jpg,25.jpg,2,1,1,AB,1,1,10.26,2
107,18,Hispanic/Latino,Male,47.jpg,7.jpg,2,1,2,AB,1,0,3.55,1
107,18,Hispanic/Latino,Male,45.jpg,45.jpg,2,1,2,AA,2,1,6.39,2
107,18,Hispanic/Latino,Male,19.jpg,46.jpg,1,1,2,AB,2,1,8.33,2
107,18,Hispanic/Latino,Male,3.jpg,3.jpg,1,2,2,AA,2,1,8.71,2
107,18,Hispanic/Latino,Male,17.jpg,17.jpg,1,2,1,AA,1,1,3.93,2
107,18,Hispanic/Latino,Male,26.jpg,9.jpg,1,2,2,AB,2,1,4.97,2
107,18,Hispanic/Latino,Male,15.jpg,12.jpg,1,2,1,AB,1,1,4.87,2
107,18,Hispanic/Latino,Male,5.jpg,5.jpg,2,1,1,AA,2,0,3.96,2
107,18,Hispanic/Latino,Male,30.jpg,30.jpg,1,2,2,AA,2,1,3.39,2
107,18,Hispanic/Latino,Male,43.jpg,34.jpg,1,1,2,AB,2,1,4.2,3
108,18,Asian Indian,Female,23.jpg,23.jpg,1,2,1,AA,1,1,2.15,3
108,18,Asian Indian,Female,37.jpg,37.jpg,1,2,2,AA,2,1,2.62,3
108,18,Asian Indian,Female,35.jpg,35.jpg,2,1,1,AA,1,1,7.5,2
108,18,Asian Indian,Female,46.jpg,17.jpg,1,2,1,AB,1,1,4.29,3
108,18,Asian Indian,Female,29.jpg,36.jpg,2,2,1,AB,1,1,2.55,3
