RT,acc,Cond,c.resp,qs,SubjNum
6.06,1,AB,1,<.7-1.0,1
3.39,1,AB,1,>.3-<=.7,1
3.03,1,AB,1,<=.3,1
3.02,1,AB,2,<=.3,1
3.19,1,AB,1,>.3-<=.7,1
6.3,1,AB,2,<.7-1.0,1
16.74,1,AB,2,<.7-1.0,1
5.6,1,AB,2,>.3-<=.7,1
1.96,0,AB,2,<=.3,1
1.95,1,AB,1,<=.3,1
2.96,0,AB,1,<=.3,1
10.41,1,AB,2,<.7-1.0,1
3.62,1,AB,2,>.3-<=.7,1
3.08,1,AB,2,<=.3,1
13.06,1,AB,2,<.7-1.0,1
18.37,0,AB,1,<.7-1.0,1
5.47,0,AB,1,>.3-<=.7,1
5.65,0,AB,1,>.3-<=.7,1
7.71,1,AB,2,<.7-1.0,1
3.42,1,AB,2,>.3-<=.7,1
3.91,1,AB,1,>.3-<=.7,1
6.2,1,AB,2,<.7-1.0,1
2.72,1,AB,2,<=.3,1
4.96,1,AB,2,>.3-<=.7,1
3.68,1,AB,1,>.3-<=.7,1
8.93,1,AB,1,<.7-1.0,1
4.28,1,AB,1,>.3-<=.7,1
2.41,1,AB,2,<=.3,1
4.37,0,AB,2,>.3-<=.7,1
5.71,1,AB,1,<.7-1.0,1
2.23,0,AB,1,<=.3,1
1.87,1,AB,1,<=.3,1
5.45,1,AA,2,>.3-<=.7,1
5.56,1,AA,1,>.3-<=.7,1
11.41,1,AA,1,<.7-1.0,1
8.78,1,AA,2,<.7-1.0,1
6.28,1,AA,1,>.3-<=.7,1
5.39,0,AA,2,>.3-<=.7,1
12.54,1,AA,1,<.7-1.0,1
1.86,1,AA,1,<=.3,1
3.28,1,AA,1,<=.3,1
2.05,1,AA,2,<=.3,1
5.96,1,AA,2,>.3-<=.7,1
3.59,1,AA,1,<=.3,1
2,0,AA,2,<=.3,1
11.05,1,AA,2,<.7-1.0,1
6.18,1,AA,2,>.3-<=.7,1
2.43,1,AA,1,<=.3,1
3.51,1,AA,1,<=.3,1
8.65,1,AA,2,<.7-1.0,1
4.6,1,AA,1,>.3-<=.7,1
3.55,1,AA,1,<=.3,1
4.78,1,AA,1,>.3-<=.7,1
3.8,1,AA,1,>.3-<=.7,1
5.72,1,AA,1,>.3-<=.7,1
3.15,1,AA,2,<=.3,1
2.76,1,AA,1,<=.3,1
4.69,1,AA,2,>.3-<=.7,1
16.24,0,AA,2,<.7-1.0,1
6.74,1,AA,2,<.7-1.0,1
7.5,1,AA,2,<.7-1.0,1
6.82,1,AA,2,<.7-1.0,1
6.12,0,AA,1,>.3-<=.7,1
8.94,0,AA,2,<.7-1.0,1
11.53,1,AB,1,<.7-1.0,10
17.97,1,AB,1,<.7-1.0,10
5.96,1,AB,1,>.3-<=.7,10
11.9,1,AB,1,<.7-1.0,10
4.05,1,AB,2,<=.3,10
4.1,1,AB,2,<=.3,10
5.09,1,AB,1,<=.3,10
2.39,1,AB,1,<=.3,10
7.22,1,AB,2,>.3-<=.7,10
9.86,1,AB,2,<.7-1.0,10
8.59,1,AB,1,<.7-1.0,10
4.82,1,AB,2,<=.3,10
4.49,1,AB,2,<=.3,10
6.63,1,AB,2,>.3-<=.7,10
6.17,1,AB,1,>.3-<=.7,10
