SubjNum,RT,acc,Cond,c.resp,TargStrength,qs
1,4.22,0,AB,1,1,<.7-1.0
1,3.22,0,AB,1,1,>.3-<=.7
1,3.3,1,AB,2,1,<.7-1.0
1,1.27,0,AB,1,1,<=.3
1,1.92,1,AB,2,1,<=.3
1,1.8,0,AB,2,1,<=.3
1,4.01,1,AB,1,1,<.7-1.0
1,2.37,0,AB,2,1,>.3-<=.7
1,3.32,1,AB,2,1,<.7-1.0
1,3.18,1,AB,1,1,>.3-<=.7
1,4.34,1,AB,2,1,<.7-1.0
1,3.86,1,AB,1,1,<.7-1.0
1,2.69,0,AB,2,1,>.3-<=.7
1,2.07,1,AB,2,1,<=.3
1,3.93,1,AB,1,1,<.7-1.0
1,2.84,0,AB,1,1,>.3-<=.7
1,2.23,1,AB,1,1,<=.3
1,2.27,1,AB,2,1,>.3-<=.7
1,2.49,1,AB,1,1,>.3-<=.7
1,3.08,1,AB,2,1,>.3-<=.7
1,1.71,0,AB,1,1,<=.3
1,2.17,0,AB,2,1,<=.3
1,3.02,0,AB,2,1,>.3-<=.7
1,3.07,1,AA,1,1,<.7-1.0
1,2.25,1,AA,2,1,<=.3
1,3.62,0,AA,2,1,<.7-1.0
1,1.4,1,AA,2,1,<=.3
1,2.36,1,AA,1,1,<=.3
1,2.22,1,AA,1,1,<=.3
1,4.36,1,AA,1,1,<.7-1.0
1,2.72,0,AA,2,1,>.3-<=.7
1,2.89,1,AA,1,1,>.3-<=.7
1,2.69,1,AA,2,1,>.3-<=.7
1,3.32,1,AA,1,1,<.7-1.0
1,2.45,0,AA,2,1,>.3-<=.7
1,3.43,0,AA,2,1,<.7-1.0
1,3.57,1,AA,2,1,<.7-1.0
1,2.97,0,AA,1,1,>.3-<=.7
1,3.17,0,AA,1,1,<.7-1.0
1,2.15,0,AA,1,1,<=.3
1,2.87,0,AA,1,1,>.3-<=.7
1,2.4,1,AA,1,1,>.3-<=.7
1,1.96,1,AA,2,1,<=.3
1,2.33,1,AA,2,1,<=.3
1,2.66,0,AA,2,1,>.3-<=.7
1,2.97,0,AA,1,1,>.3-<=.7
1,2.78,1,AA,2,1,>.3-<=.7
1,2.06,1,AB,2,2,>.3-<=.7
1,3.01,1,AB,1,2,>.3-<=.7
1,2.56,1,AB,1,2,>.3-<=.7
1,1.83,1,AB,1,2,<=.3
1,2.67,0,AB,2,2,>.3-<=.7
1,2.74,1,AB,2,2,>.3-<=.7
1,1.85,1,AB,1,2,<=.3
1,3.16,1,AB,1,2,<.7-1.0
1,2.98,1,AB,1,2,>.3-<=.7
1,3.7,1,AB,1,2,<.7-1.0
1,2.7,1,AB,2,2,>.3-<=.7
1,3.64,1,AB,2,2,<.7-1.0
1,3.34,1,AB,2,2,<.7-1.0
1,1.85,1,AB,2,2,<=.3
1,3.83,0,AB,1,2,<.7-1.0
1,3.95,1,AB,1,2,<.7-1.0
1,2.36,1,AB,2,2,>.3-<=.7
1,3.31,0,AB,2,2,<.7-1.0
1,0.94,1,AB,2,2,<=.3
1,2.62,0,AB,1,2,>.3-<=.7
1,1.7,0,AB,1,2,<=.3
1,1.56,1,AB,1,2,<=.3
1,1.84,0,AB,2,2,<=.3
1,2.74,1,AB,2,2,>.3-<=.7
1,2.3,1,AA,2,2,>.3-<=.7
1,3.2,1,AA,2,2,<.7-1.0
1,2.43,1,AA,1,2,>.3-<=.7
1,3.11,0,AA,1,2,<.7-1.0
1,2.22,0,AA,2,2,<=.3
1,2.93,0,AA,1,2,>.3-<=.7
