SubjNum,Age,Ethnicity,Sex,TargName,DistName,TargHalf,DistHalf,c.resp,Cond,TargStrength,Resp,acc,RT,Conf
1,20,african american,male,40.jpg,57.jpg,1,2,1,AB,1,2,0,4.22,2
1,20,african american,male,123.jpg,4.jpg,1,2,1,AB,1,2,0,3.22,3
1,20,african american,male,112.jpg,6.jpg,2,1,2,AB,1,2,1,3.3,3
1,20,african american,male,142.jpg,115.jpg,2,1,1,AB,1,2,0,1.27,3
1,20,african american,male,50.jpg,97.jpg,1,2,2,AB,1,2,1,1.92,3
1,20,african american,male,134.jpg,134.jpg,1,2,2,AA,2,2,1,2.3,3
1,20,african american,male,108.jpg,108.jpg,1,2,2,AA,2,2,1,3.2,2
1,20,african american,male,128.jpg,49.jpg,1,2,2,AB,2,2,1,2.06,3
1,20,african american,male,93.jpg,27.jpg,1,2,1,AB,2,1,1,3.01,3
1,20,african american,male,66.jpg,66.jpg,2,1,1,AA,1,1,1,3.07,2
1,20,african american,male,143.jpg,143.jpg,2,1,2,AA,1,2,1,2.25,2
1,20,african american,male,95.jpg,95.jpg,2,1,1,AA,2,1,1,2.43,2
1,20,african american,male,16.jpg,105.jpg,2,1,1,AB,2,1,1,2.56,3
1,20,african american,male,8.jpg,8.jpg,1,2,1,AA,2,2,0,3.11,2
1,20,african american,male,127.jpg,127.jpg,1,2,2,AA,2,1,0,2.22,3
1,20,african american,male,130.jpg,130.jpg,2,1,2,AA,1,1,0,3.62,2
1,20,african american,male,67.jpg,98.jpg,2,1,1,AB,2,1,1,1.83,3
1,20,african american,male,21.jpg,29.jpg,2,1,2,AB,2,1,0,2.67,3
1,20,african american,male,45.jpg,31.jpg,2,1,2,AB,2,2,1,2.74,3
1,20,african american,male,110.jpg,84.jpg,1,2,2,AB,1,1,0,1.8,3
1,20,african american,male,131.jpg,132.jpg,1,2,1,AB,2,1,1,1.85,3
1,20,african american,male,107.jpg,48.jpg,1,2,1,AB,2,1,1,3.16,3
1,20,african american,male,71.jpg,71.jpg,1,2,1,AA,2,2,0,2.93,2
1,20,african american,male,129.jpg,74.jpg,2,1,1,AB,2,1,1,2.98,3
1,20,african american,male,42.jpg,42.jpg,1,2,2,AA,1,2,1,1.4,3
1,20,african american,male,22.jpg,22.jpg,1,2,1,AA,1,1,1,2.36,2
1,20,african american,male,114.jpg,114.jpg,2,1,1,AA,2,1,1,2.35,3
1,20,african american,male,23.jpg,104.jpg,2,1,1,AB,1,1,1,4.01,2
1,20,african american,male,52.jpg,30.jpg,2,1,2,AB,1,1,0,2.37,3
1,20,african american,male,72.jpg,124.jpg,2,1,2,AB,1,2,1,3.32,3
1,20,african american,male,139.jpg,136.jpg,2,1,1,AB,2,1,1,3.7,2
1,20,african american,male,39.jpg,102.jpg,1,2,1,AB,1,1,1,3.18,2
1,20,african american,male,78.jpg,78.jpg,1,2,1,AA,1,1,1,2.22,3
1,20,african american,male,63.jpg,63.jpg,2,1,2,AA,2,2,1,3.73,2
1,20,african american,male,96.jpg,121.jpg,2,1,2,AB,1,2,1,4.34,2
1,20,african american,male,82.jpg,82.jpg,2,1,1,AA,1,1,1,4.36,2
1,20,african american,male,80.jpg,80.jpg,1,2,2,AA,2,2,1,2.64,3
1,20,african american,male,32.jpg,1.jpg,1,2,2,AB,2,2,1,2.7,3
1,20,african american,male,135.jpg,135.jpg,2,1,2,AA,2,2,1,2.75,2
1,20,african american,male,20.jpg,20.jpg,1,2,1,AA,2,1,1,3.03,3
1,20,african american,male,33.jpg,33.jpg,1,2,2,AA,1,1,0,2.72,2
1,20,african american,male,140.jpg,140.jpg,2,1,1,AA,2,2,0,3.42,2
1,20,african american,male,94.jpg,94.jpg,2,1,2,AA,2,2,1,1.71,3
1,20,african american,male,101.jpg,85.jpg,1,2,2,AB,2,2,1,3.64,2
1,20,african american,male,120.jpg,60.jpg,2,1,2,AB,2,2,1,3.34,2
1,20,african american,male,111.jpg,111.jpg,2,1,1,AA,1,1,1,2.89,2
1,20,african american,male,77.jpg,77.jpg,1,2,2,AA,1,2,1,2.69,3
1,20,african american,male,118.jpg,133.jpg,2,1,1,AB,1,1,1,3.86,3
1,20,african american,male,137.jpg,125.jpg,2,1,2,AB,2,2,1,1.85,3
1,20,african american,male,2.jpg,41.jpg,1,2,2,AB,1,1,0,2.69,2
1,20,african american,male,53.jpg,53.jpg,2,1,1,AA,1,1,1,3.32,2
1,20,african american,male,117.jpg,117.jpg,1,2,2,AA,1,1,0,2.45,2
1,20,african american,male,13.jpg,13.jpg,2,1,2,AA,1,1,0,3.43,2
1,20,african american,male,19.jpg,19.jpg,2,1,2,AA,2,1,0,3.4,2
